Num rows;GEMV fp64;GEMV fp32;GEMV Acc<fp64, fp64>;GEMV Acc<fp64, fp32>;GEMV Acc<fp32, fp32>;CUBLAS GEMV fp64;CUBLAS GEMV fp32
+100;+5.2160001359879971e-03;+4.7039999626576900e-03;+5.1520001143217087e-03;+5.1520001143217087e-03;+5.0880000926554203e-03;+7.1359998546540737e-03;+7.0719998329877853e-03
+200;+5.2800001576542854e-03;+5.3440001793205738e-03;+4.8000002279877663e-03;+5.2800001576542854e-03;+5.2479999139904976e-03;+7.2639998979866505e-03;+7.1359998546540737e-03
+300;+5.0880000926554203e-03;+5.2800001576542854e-03;+5.3440001793205738e-03;+5.4080002009868622e-03;+5.6639998219907284e-03;+7.5520002283155918e-03;+7.2639998979866505e-03
+400;+5.7279998436570168e-03;+5.8880001306533813e-03;+5.9520001523196697e-03;+6.6880001686513424e-03;+5.8880001306533813e-03;+8.2559995353221893e-03;+7.6480000279843807e-03
+500;+6.9120000116527081e-03;+6.7199999466538429e-03;+6.8160002119839191e-03;+7.0079998113214970e-03;+6.3040000386536121e-03;+1.2095999903976917e-02;+9.7599998116493225e-03
+600;+7.4559999629855156e-03;+7.3600001633167267e-03;+7.4880002066493034e-03;+7.5199999846518040e-03;+7.1680000983178616e-03;+8.2879997789859772e-03;+8.7679997086524963e-03
+700;+7.4880002066493034e-03;+7.5199999846518040e-03;+7.5840000063180923e-03;+8.3839995786547661e-03;+7.4240001849830151e-03;+8.6080003529787064e-03;+8.7999999523162842e-03
+800;+8.0000003799796104e-03;+7.6799998059868813e-03;+8.0000003799796104e-03;+8.8640004396438599e-03;+7.7439998276531696e-03;+1.0304000228643417e-02;+9.0239997953176498e-03
+900;+8.1599997356534004e-03;+8.1280004233121872e-03;+8.1919999793171883e-03;+9.3759996816515923e-03;+8.2559995353221893e-03;+1.0784000158309937e-02;+9.2160003259778023e-03
+1000;+9.1519998386502266e-03;+8.9279999956488609e-03;+9.0560000389814377e-03;+9.7599998116493225e-03;+8.9919995516538620e-03;+1.1520000174641609e-02;+2.1471999585628510e-02
+1100;+9.8879998549818993e-03;+9.6640000119805336e-03;+9.7599998116493225e-03;+1.0879999957978725e-02;+9.5680002123117447e-03;+1.1359999887645245e-02;+8.6399996653199196e-03
+1200;+1.0463999584317207e-02;+1.0048000141978264e-02;+1.0432000271975994e-02;+1.1392000131309032e-02;+9.3440003693103790e-03;+1.2799999676644802e-02;+8.9600002393126488e-03
+1300;+1.0688000358641148e-02;+1.0304000228643417e-02;+1.0879999957978725e-02;+1.1520000174641609e-02;+1.0463999584317207e-02;+1.2608000077307224e-02;+3.7471998482942581e-02
+1400;+1.1839999817311764e-02;+1.0975999757647514e-02;+1.1520000174641609e-02;+1.2768000364303589e-02;+1.0879999957978725e-02;+1.3887999579310417e-02;+3.9328001439571381e-02
+1500;+1.2415999546647072e-02;+1.1487999930977821e-02;+1.2608000077307224e-02;+1.3151999562978745e-02;+1.1327999643981457e-02;+1.3856000266969204e-02;+1.0048000141978264e-02
+1600;+1.2768000364303589e-02;+1.1839999817311764e-02;+1.2927999719977379e-02;+1.3600000180304050e-02;+1.1424000374972820e-02;+1.6000000759959221e-02;+9.9200000986456871e-03
+1700;+1.4080000109970570e-02;+1.3279999606311321e-02;+1.4143999665975571e-02;+1.5424000099301338e-02;+1.3055999763309956e-02;+1.8656000494956970e-02;+1.0239999741315842e-02
+1800;+1.4944000169634819e-02;+1.3472000136971474e-02;+1.4879999682307243e-02;+1.6640000045299530e-02;+1.3439999893307686e-02;+2.1247999742627144e-02;+1.0367999784648418e-02
+1900;+1.6640000045299530e-02;+1.4015999622642994e-02;+1.6575999557971954e-02;+1.6960000619292259e-02;+1.4431999996304512e-02;+2.5984000414609909e-02;+1.1583999730646610e-02
+2000;+1.7855999991297722e-02;+1.4848000369966030e-02;+1.8112000077962875e-02;+1.7408000305294991e-02;+1.4655999839305878e-02;+2.6079999282956123e-02;+1.2063999660313129e-02
+2100;+1.8079999834299088e-02;+1.4047999866306782e-02;+1.8047999590635300e-02;+1.6736000776290894e-02;+1.3887999579310417e-02;+2.7264000847935677e-02;+1.2543999589979649e-02
+2200;+2.1056000143289566e-02;+1.4688000082969666e-02;+2.1120000630617142e-02;+1.7376000061631203e-02;+1.4720000326633453e-02;+2.9503999277949333e-02;+1.3376000337302685e-02
+2300;+2.5024000555276871e-02;+1.5552000142633915e-02;+2.4415999650955200e-02;+1.8624000251293182e-02;+1.5456000342965126e-02;+3.1231999397277832e-02;+1.3728000223636627e-02
+2400;+2.8543999418616295e-02;+1.7055999487638474e-02;+2.8448000550270081e-02;+2.0352000370621681e-02;+1.6736000776290894e-02;+3.3151999115943909e-02;+1.4336000196635723e-02
+2500;+3.1295999884605408e-02;+1.8239999189972878e-02;+3.1199999153614044e-02;+2.1503999829292297e-02;+1.8176000565290451e-02;+3.4912001341581345e-02;+1.5007999725639820e-02
