Num rows;TRSV fp64;TRSV fp32;TRSV Acc<fp64, fp64>;TRSV Acc<fp64, fp32>;TRSV Acc<fp32, fp32>;CUBLAS TRSV fp64;CUBLAS TRSV fp32
+100;+5.6352000683546066e-02;+5.3247999399900436e-02;+5.6223999708890915e-02;+5.5456001311540604e-02;+5.3536001592874527e-02;+2.0479999482631683e-02;+2.4224000051617622e-02
+200;+7.1967996656894684e-02;+6.8223997950553894e-02;+7.1935996413230896e-02;+6.6303998231887817e-02;+6.3359998166561127e-02;+2.6464000344276428e-02;+2.4480000138282776e-02
+300;+7.5263999402523041e-02;+7.0752002298831940e-02;+7.5295999646186829e-02;+7.4464000761508942e-02;+7.0975996553897858e-02;+3.0751999467611313e-02;+2.7712000533938408e-02
+400;+8.1440001726150513e-02;+7.6191999018192291e-02;+8.1536002457141876e-02;+7.9744003713130951e-02;+7.6384000480175018e-02;+3.7184000015258789e-02;+3.3183999359607697e-02
+500;+9.0368002653121948e-02;+8.3711996674537659e-02;+8.9983999729156494e-02;+8.8384002447128296e-02;+8.3839997649192810e-02;+4.4319998472929001e-02;+3.9423998445272446e-02
+600;+9.8783999681472778e-02;+9.1839998960494995e-02;+9.9008001387119293e-02;+9.6064001321792603e-02;+9.1424003243446350e-02;+5.0815999507904053e-02;+4.5568000525236130e-02
+700;+1.0652799904346466e-01;+9.8880000412464142e-02;+1.0646399855613708e-01;+1.0403200238943100e-01;+9.9264003336429596e-02;+5.7792000472545624e-02;+5.1615998148918152e-02
+800;+1.1446399986743927e-01;+1.0774400085210800e-01;+1.1478400230407715e-01;+1.1264000087976456e-01;+1.0719999670982361e-01;+6.3936002552509308e-02;+5.7055998593568802e-02
+900;+1.2604799866676331e-01;+1.1766400188207626e-01;+1.2598399817943573e-01;+1.2316799908876419e-01;+1.1769600212574005e-01;+7.1103997528553009e-02;+6.3455998897552490e-02
+1000;+1.3510400056838989e-01;+1.2518399953842163e-01;+1.3500800728797913e-01;+1.3167999684810638e-01;+1.2467200309038162e-01;+7.8047998249530792e-02;+6.9183997809886932e-02
+1100;+1.4294399321079254e-01;+1.3251200318336487e-01;+1.4217600226402283e-01;+1.3948799669742584e-01;+1.3312000036239624e-01;+8.4799997508525848e-02;+7.5263999402523041e-02
+1200;+1.5126399695873260e-01;+1.4086399972438812e-01;+1.5087999403476715e-01;+1.4752000570297241e-01;+1.4041599631309509e-01;+9.1264002025127411e-02;+8.0991998314857483e-02
+1300;+1.6019199788570404e-01;+1.4783999323844910e-01;+1.6035200655460358e-01;+1.5491199493408203e-01;+1.4787200093269348e-01;+9.8304003477096558e-02;+8.7136000394821167e-02
+1400;+1.6908800601959229e-01;+1.5590399503707886e-01;+1.6873599588871002e-01;+1.6339200735092163e-01;+1.5494400262832642e-01;+1.0534399747848511e-01;+9.3535996973514557e-02
+1500;+1.7705599963665009e-01;+1.6303999722003937e-01;+1.7756800353527069e-01;+1.7081600427627563e-01;+1.6323199868202209e-01;+1.1244799941778183e-01;+9.9519997835159302e-02
+1600;+1.8409599363803864e-01;+1.7088000476360321e-01;+1.8384000658988953e-01;+1.7929600179195404e-01;+1.7036800086498260e-01;+1.1807999759912491e-01;+1.0470400005578995e-01
+1700;+1.9648000597953796e-01;+1.8089599907398224e-01;+1.9696000218391418e-01;+1.9011199474334717e-01;+1.8012799322605133e-01;+1.2559999525547028e-01;+1.1142399907112122e-01
+1800;+2.0627200603485107e-01;+1.8812799453735352e-01;+2.0537599921226501e-01;+1.9750399887561798e-01;+1.8742400407791138e-01;+1.3270400464534760e-01;+1.1686400324106216e-01
+1900;+2.1353599429130554e-01;+1.9536000490188599e-01;+2.1334399282932281e-01;+2.0614400506019592e-01;+1.9548800587654114e-01;+1.3955199718475342e-01;+1.2287999689579010e-01
+2000;+2.2156800329685211e-01;+2.0351999998092651e-01;+2.2121599316596985e-01;+2.1305599808692932e-01;+2.0310400426387787e-01;+1.4681600034236908e-01;+1.2886400520801544e-01
+2100;+2.3273600637912750e-01;+2.1078400313854218e-01;+2.3238399624824524e-01;+2.2166399657726288e-01;+2.1078400313854218e-01;+1.5558399260044098e-01;+1.3481600582599640e-01
+2200;+2.4220800399780273e-01;+2.1852800250053406e-01;+2.4172799289226532e-01;+2.2912000119686127e-01;+2.1846400201320648e-01;+1.6400000452995300e-01;+1.4083200693130493e-01
+2300;+2.5023999810218811e-01;+2.2668799757957458e-01;+2.5040000677108765e-01;+2.3785600066184998e-01;+2.2524799406528473e-01;+1.7385600507259369e-01;+1.4678399264812469e-01
+2400;+2.5984001159667969e-01;+2.3574399948120117e-01;+2.6057600975036621e-01;+2.4704000353813171e-01;+2.3500800132751465e-01;+1.7747199535369873e-01;+1.5171200037002563e-01
