Num rows;Error TRSV fp64;Error TRSV fp32;Error TRSV Acc<fp64, fp64>;Error TRSV Acc<fp64, fp32>;Error TRSV Acc<fp32, fp32>;Error CUBLAS TRSV fp64;Error CUBLAS TRSV fp32
+100;+0.0000000000000000e+00;+3.8737357103728633e-07;+0.0000000000000000e+00;+1.1793179059868741e-07;+3.8737357103728633e-07;+7.9762591830247236e-16;+2.7720429197957377e-07
+200;+0.0000000000000000e+00;+4.1715743754459457e-07;+0.0000000000000000e+00;+1.7639149743926759e-07;+4.1715743754459457e-07;+1.1862010150967489e-15;+4.9596670596955057e-07
+300;+0.0000000000000000e+00;+6.8387149638806166e-07;+0.0000000000000000e+00;+2.0494179017164960e-07;+6.8387149638806166e-07;+1.5331749097031046e-15;+7.9585570617793390e-07
+400;+0.0000000000000000e+00;+7.4817807784365062e-07;+0.0000000000000000e+00;+2.6703236525944146e-07;+7.4817807784365062e-07;+2.0050428997013532e-15;+7.8212877376528259e-07
+500;+0.0000000000000000e+00;+9.6723371752863882e-07;+0.0000000000000000e+00;+3.3149414894324776e-07;+9.6723371752863882e-07;+2.6824164376293887e-15;+1.0738952112301197e-06
+600;+0.0000000000000000e+00;+1.0358410029827431e-06;+0.0000000000000000e+00;+4.0945586428389060e-07;+1.0358410029827431e-06;+2.8190109237475155e-15;+1.3820615900251171e-06
+700;+0.0000000000000000e+00;+1.1776314828428516e-06;+0.0000000000000000e+00;+4.8512882718430980e-07;+1.1776314828428516e-06;+3.2860169674123460e-15;+1.5770861249772068e-06
+800;+0.0000000000000000e+00;+1.2550284434565376e-06;+0.0000000000000000e+00;+5.1056879178603144e-07;+1.2550284434565376e-06;+3.8693529073856265e-15;+1.5333754989576163e-06
+900;+0.0000000000000000e+00;+1.4533687844553780e-06;+0.0000000000000000e+00;+5.5423829004760623e-07;+1.4533687844553780e-06;+4.2621892984308571e-15;+1.9466437472062497e-06
+1000;+0.0000000000000000e+00;+1.9997027599550416e-06;+0.0000000000000000e+00;+6.2142095014713690e-07;+1.9997027599550416e-06;+4.7893262603929923e-15;+1.8715158860163192e-06
+1100;+0.0000000000000000e+00;+2.2189986489388691e-06;+0.0000000000000000e+00;+6.6286647199352239e-07;+2.2189986489388691e-06;+5.6650789053031059e-15;+2.3802394470338387e-06
+1200;+0.0000000000000000e+00;+2.2237396553651571e-06;+0.0000000000000000e+00;+6.8538482826540417e-07;+2.2237396553651571e-06;+5.6481018729105505e-15;+2.4901447854815389e-06
+1300;+0.0000000000000000e+00;+2.3314930304279536e-06;+0.0000000000000000e+00;+7.5549608266572151e-07;+2.3314930304279536e-06;+6.6217616226957730e-15;+2.6633542857548032e-06
+1400;+0.0000000000000000e+00;+2.6461351085794877e-06;+0.0000000000000000e+00;+8.4539958571725868e-07;+2.6461351085794877e-06;+8.5541187468746724e-15;+3.0174727756219207e-06
+1500;+0.0000000000000000e+00;+3.1457252870443123e-06;+0.0000000000000000e+00;+8.4780478240057029e-07;+3.1457252870443123e-06;+8.3274088967008547e-15;+3.1751451906009687e-06
