Vector Size;DOT fp64;DOT fp32;DOT Acc<fp64, fp64>;DOT Acc<fp64, fp32>;DOT Acc<fp32, fp32>;CUBLAS DOT fp64;CUBLAS DOT fp32;Error DOT fp64;Error DOT fp32;Error DOT Acc<fp64, fp64>;Error DOT Acc<fp64, fp32>;Error DOT Acc<fp32, fp32>;Error CUBLAS DOT fp64;Error CUBLAS DOT fp32
1000000;2.8416000306606293e-02;2.7071999385952950e-02;2.8831999748945236e-02;3.0880000442266464e-02;2.7968000620603561e-02;1.3248000293970108e-02;1.1424000374972820e-02;0.0000000000000000e+00;1.2003035855100213e-07;6.0561513408819952e-16;1.0024501192571473e-08;3.8014007803814928e-07;8.4786118772347938e-16;1.0024501192571473e-08
3000000;3.8943998515605927e-02;3.2832000404596329e-02;4.1664000600576401e-02;3.8527999073266983e-02;3.5679999738931656e-02;3.4432001411914825e-02;1.4080000109970570e-02;0.0000000000000000e+00;6.5401481231153560e-08;1.9468980123444159e-16;3.9121809914679831e-08;1.6992477237698694e-07;7.7875920493776637e-16;1.6992477237698694e-07
5000000;5.2896000444889069e-02;4.0927998721599579e-02;5.5488001555204391e-02;4.8383999615907669e-02;4.5184001326560974e-02;5.1263999193906784e-02;1.8719999119639397e-02;0.0000000000000000e+00;8.7246175505294949e-07;3.8890574166929979e-15;5.5503490333865575e-08;6.0492165339486305e-08;4.3211749074366644e-16;1.7149914600721745e-07
7000000;6.5664000809192657e-02;4.9632001668214798e-02;6.6688001155853271e-02;5.5392000824213028e-02;5.2223999053239822e-02;6.6784001886844635e-02;3.8400001823902130e-02;0.0000000000000000e+00;5.8262832729050320e-08;9.5996482508743955e-16;1.5362480289894561e-08;3.5276408480482983e-07;4.1141349646604551e-16;2.3623841934672919e-07
9000000;8.0799996852874756e-02;5.8111999183893204e-02;8.1823997199535370e-02;6.3583999872207642e-02;6.0736000537872314e-02;8.3871997892856598e-02;4.6911999583244324e-02;0.0000000000000000e+00;4.0270872304559845e-06;1.2162197983533731e-15;1.0936903644939565e-07;4.5349395889383207e-06;2.4594667033368212e-14;1.8505771226745465e-06
11000000;9.6703998744487762e-02;6.5664000809192657e-02;9.7439996898174286e-02;7.0752002298831940e-02;6.8896003067493439e-02;9.9615998566150665e-02;5.4944001138210297e-02;0.0000000000000000e+00;2.0077081015339276e-07;1.0665078010850149e-14;5.1836696827618951e-08;2.8497331248039663e-07;1.0508238628337647e-14;7.9018832644242010e-07
13000000;1.1347199976444244e-01;6.4351998269557953e-02;1.1174400150775909e-01;6.8383999168872833e-02;6.5503999590873718e-02;1.1590400338172913e-01;6.3199996948242188e-02;0.0000000000000000e+00;3.8590902851198018e-07;1.6679562039135520e-15;6.1829555673583118e-08;1.1811760161374913e-06;1.6679562039135520e-15;6.1829555673583118e-08
15000000;1.2953600287437439e-01;6.7487999796867371e-02;1.2992000579833984e-01;7.1135997772216797e-02;6.7808002233505249e-02;1.3564799726009369e-01;7.0912003517150879e-02;0.0000000000000000e+00;4.4078420608779472e-06;3.4855024755913103e-15;1.5804427767352569e-07;2.1623241894591901e-06;1.8124612873074813e-15;8.3430862456085470e-09
17000000;1.4604799449443817e-01;7.6127998530864716e-02;1.4643199741840363e-01;7.9199999570846558e-02;7.6031997799873352e-02;1.5184000134468079e-01;8.0127999186515808e-02;0.0000000000000000e+00;4.7388709214238704e-07;4.4555934086462560e-15;5.7862744645009868e-07;1.5974555751413541e-05;1.4792570116705569e-14;9.5230279150260789e-07
19000000;1.6214400529861450e-01;8.4127999842166901e-02;1.6195200383663177e-01;8.8544003665447235e-02;8.4767997264862061e-02;1.6867199540138245e-01;8.7520003318786621e-02;0.0000000000000000e+00;1.3272823571309045e-06;2.5071829257037575e-15;1.8751226742499985e-08;1.2151128918081208e-06;1.6714552838025050e-15;1.7012932065842556e-06
21000000;1.7808000743389130e-01;9.2575997114181519e-02;1.7827199399471283e-01;9.6703998744487762e-02;9.3152001500129700e-02;1.8447999656200409e-01;9.5583997666835785e-02;0.0000000000000000e+00;1.3991983937264308e-06;1.2178941367908916e-16;2.6109328255835510e-08;3.5303529622502486e-07;2.6793671009399614e-15;2.6109328255835510e-08
23000000;1.9385600090026855e-01;1.0179200023412704e-01;1.9424000382423401e-01;1.0556799918413162e-01;1.0236799716949463e-01;2.0163199305534363e-01;1.0339199751615524e-01;0.0000000000000000e+00;1.7660561999242232e-06;7.2519566515718434e-15;1.2500659671392844e-07;8.7614429562391666e-07;6.2159628442044373e-15;4.5872356082654345e-07
25000000;2.1062399446964264e-01;1.0870400071144104e-01;2.1087999641895294e-01;1.1347199976444244e-01;1.0892800241708755e-01;2.1891200542449951e-01;1.1459200084209442e-01;0.0000000000000000e+00;1.0556828708688579e-05;4.0776735560082419e-14;1.1258376189373584e-06;6.3468588608954481e-06;3.5287559619302094e-15;4.6628709217781960e-06
27000000;2.2566400468349457e-01;1.1590400338172913e-01;2.2672000527381897e-01;1.1932799965143204e-01;1.1734399944543839e-01;2.3500800132751465e-01;1.2195199728012085e-01;0.0000000000000000e+00;1.3762490924307129e-06;3.2711264702095276e-15;5.0641186773880141e-08;2.3640962088031234e-06;4.0889080877619095e-16;3.8840197605830232e-07
29000000;2.4201600253582001e-01;1.2611199915409088e-01;2.4259200692176819e-01;1.2710399925708771e-01;1.2534399330615997e-01;2.5094398856163025e-01;1.3199999928474426e-01;0.0000000000000000e+00;4.9078152925195348e-08;4.1220263590321600e-16;2.4688382096859159e-08;9.8454917118913666e-08;1.0992070290752427e-15;1.9661122296930435e-07
31000000;2.5833600759506226e-01;1.3427199423313141e-01;2.5795200467109680e-01;1.3766400516033173e-01;1.3417600095272064e-01;2.6777601242065430e-01;1.3881599903106689e-01;0.0000000000000000e+00;2.0356835224838724e-07;2.4844318700382332e-16;7.0186431861458056e-08;3.2995932929932945e-07;7.4532956101146996e-16;3.4954716679934790e-09
33000000;2.7414399385452271e-01;1.4227199554443359e-01;2.7436798810958862e-01;1.4518399536609650e-01;1.4214399456977844e-01;2.8486400842666626e-01;1.4777599275112152e-01;0.0000000000000000e+00;6.5887050568817308e-07;3.4223068053194086e-16;4.6424847116293972e-08;3.2104254802683353e-07;0.0000000000000000e+00;1.4819718740893943e-08
35000000;2.9043200612068176e-01;1.5027199685573578e-01;2.9043200612068176e-01;1.5350399911403656e-01;1.5027199685573578e-01;2.9865598678588867e-01;1.5577599406242371e-01;0.0000000000000000e+00;4.7765712217860970e-07;5.9162764170274033e-16;3.0547152325965421e-08;3.5060605355246587e-07;1.4199063400865768e-15;1.6002945061325024e-07
37000000;3.0668801069259644e-01;1.5875199437141418e-01;3.0649599432945251e-01;1.6131199896335602e-01;1.5839999914169312e-01;3.1756800413131714e-01;1.6457599401473999e-01;0.0000000000000000e+00;4.0119336632417437e-07;9.7858028961108286e-16;3.6616044133097473e-08;3.8686357249891495e-07;1.1416770045462634e-15;2.2606960214126564e-07
39000000;3.2252800464630127e-01;1.6755199432373047e-01;3.2195198535919189e-01;1.6991999745368958e-01;1.6716800630092621e-01;3.3321601152420044e-01;1.7088000476360321e-01;0.0000000000000000e+00;1.0401575195027926e-06;1.8712444910477272e-15;7.6083298812506378e-08;9.2853343767126264e-07;2.4949926547303029e-15;3.7041302851361322e-07
41000000;3.3855998516082764e-01;1.7455999553203583e-01;3.3888000249862671e-01;1.7801600694656372e-01;1.7449599504470825e-01;3.5091200470924377e-01;1.8095999956130981e-01;0.0000000000000000e+00;3.6717911102527344e-07;1.4347971406626616e-16;1.7971313696004246e-08;6.7529945080229556e-07;2.0087159969277263e-15;2.1311894113676238e-07
43000000;3.5500800609588623e-01;1.8134400248527527e-01;3.5443198680877686e-01;1.8451200425624847e-01;1.8252800405025482e-01;3.6553600430488586e-01;1.8761600553989410e-01;0.0000000000000000e+00;1.5960521848231015e-06;1.9593727192715316e-15;1.2782267372422229e-08;8.5351320688670597e-07;0.0000000000000000e+00;2.3473072527304297e-07
45000000;3.7059199810028076e-01;1.9116799533367157e-01;3.7017598748207092e-01;1.9254399836063385e-01;1.9030399620532990e-01;3.8451200723648071e-01;1.9593599438667297e-01;0.0000000000000000e+00;4.8512518790637514e-07;9.5239652577499223e-16;3.7725445450230022e-08;2.2946819221714935e-07;9.5239652577499223e-16;9.0103052394382868e-08
47000000;3.8640001416206360e-01;1.9836799800395966e-01;3.8579198718070984e-01;2.0105600357055664e-01;1.9878399372100830e-01;4.0016001462936401e-01;2.0473599433898926e-01;0.0000000000000000e+00;1.5779992644533408e-07;1.1839669658156734e-15;5.1860355659445186e-08;4.7783749826999935e-07;1.5786226210875646e-15;1.6001878591233261e-07
49000000;4.0268799662590027e-01;2.0703999698162079e-01;4.0332800149917603e-01;2.0902399718761444e-01;2.0700800418853760e-01;4.1583999991416931e-01;2.1408000588417053e-01;0.0000000000000000e+00;4.4123345548436481e-07;1.6504582755891384e-16;1.8080643323791790e-09;7.9566667133775997e-07;4.9513748267674148e-16;1.7902467225907678e-07
51000000;4.1827198863029480e-01;2.1494400501251221e-01;4.1903999447822571e-01;2.1843199431896210e-01;2.1574400365352631e-01;4.3235200643539429e-01;2.2137600183486938e-01;0.0000000000000000e+00;5.8021657398899265e-07;9.9634210946083423e-16;4.5309477018750684e-08;3.6625373520089587e-07;1.3948789532451680e-15;6.1671942375297706e-08
53000000;4.3526399135589600e-01;2.2300800681114197e-01;4.3551999330520630e-01;2.2595199942588806e-01;2.2259199619293213e-01;4.4944000244140625e-01;2.3052799701690674e-01;0.0000000000000000e+00;3.3581325044285691e-07;7.9062050457882176e-16;1.2358267477329080e-07;1.2559160670788889e-06;5.9296537843411632e-16;6.1922434007019058e-07
55000000;4.5033600926399231e-01;2.3148800432682037e-01;4.5145601034164429e-01;2.3369599878787994e-01;2.3097600042819977e-01;4.6502399444580078e-01;2.3699200153350830e-01;0.0000000000000000e+00;2.0951333178283056e-06;8.7900174980876778e-15;4.9574769980777508e-07;8.4798043970029336e-06;1.0685903625126197e-14;1.5399445283348599e-06
57000000;4.6777600049972534e-01;2.3971199989318848e-01;4.6732801198959351e-01;2.4297599494457245e-01;2.3984000086784363e-01;4.8144000768661499e-01;2.4675199389457703e-01;0.0000000000000000e+00;1.3634793805899086e-06;2.9613136725947273e-15;8.8116559175483253e-08;6.7224321879686484e-07;2.8325609042210435e-15;5.0130673183125498e-08
59000000;4.8326399922370911e-01;2.4668799340724945e-01;4.8323199152946472e-01;2.5007998943328857e-01;2.4806399643421173e-01;4.9849599599838257e-01;2.5395199656486511e-01;0.0000000000000000e+00;1.2898370808897529e-07;3.1269828518552356e-15;2.6602479437782029e-07;1.2898370808897529e-07;3.4948631873676165e-15;3.0231582472276396e-08
61000000;4.9907198548316956e-01;2.5593599677085876e-01;4.9868801236152649e-01;2.5920000672340393e-01;2.5580799579620361e-01;5.1452797651290894e-01;2.6390400528907776e-01;0.0000000000000000e+00;1.5971498795930737e-05;2.9771224581566791e-15;5.1654162787276842e-07;4.6149403407599553e-06;1.5825756224938138e-14;2.3436286497257988e-06
63000000;5.1491200923919678e-01;2.6425600051879883e-01;5.1500797271728516e-01;2.6636800169944763e-01;2.6422399282455444e-01;5.3084802627563477e-01;2.7260801196098328e-01;0.0000000000000000e+00;9.2750254779579533e-07;2.0125974634509553e-15;8.5470923165268248e-08;3.5559718208821851e-07;4.2767696098332801e-15;6.9325500574190635e-07
65000000;5.3139197826385498e-01;2.7263998985290527e-01;5.3065598011016846e-01;2.7401599287986755e-01;2.7203199267387390e-01;5.4819202423095703e-01;2.7939200401306152e-01;0.0000000000000000e+00;4.3766628461073680e-07;3.9298817160637145e-16;1.5698448419686521e-08;1.0002900661988039e-06;2.8819132584467239e-15;3.6733831191222840e-07
