Vector Size;Error DOT fp64;Error DOT fp32;Error DOT Acc<fp64, fp64>;Error DOT Acc<fp64, fp32>;Error DOT Acc<fp32, fp32>;Error CUBLAS DOT fp64;Error CUBLAS DOT fp32
1000000;0.0000000000000000e+00;4.3542736157352975e-07;1.2012134032337462e-15;6.8728422548207030e-08;9.3626230409174742e-07;1.1417968985355773e-15;4.4491593001852424e-07
3000000;0.0000000000000000e+00;9.0108356819298295e-07;1.3535710464319346e-15;4.2805648903712117e-08;6.3169479172782987e-07;1.5021111666913573e-15;2.5646617107560150e-07
5000000;0.0000000000000000e+00;1.0604284170808829e-06;2.2204496714622824e-15;6.6803152228583939e-08;1.0255730491256255e-06;2.3051539806449010e-15;1.8336374242946931e-07
7000000;0.0000000000000000e+00;5.9659770336397531e-07;1.4619368574409913e-15;2.6975982582680268e-08;5.7514752453877852e-07;2.2742431016248222e-15;1.4280953890009714e-07
9000000;0.0000000000000000e+00;8.6735070747962284e-07;1.7777051760020256e-15;3.8873841291648121e-08;7.2780776444947744e-07;2.2235429521375871e-15;1.7580608920591894e-07
11000000;0.0000000000000000e+00;3.6967770436009779e-07;6.4711843283288534e-16;3.2939709164196581e-08;3.8042598204043201e-07;9.1059715126495263e-16;1.0386570246571207e-07
13000000;0.0000000000000000e+00;3.4512412841801113e-07;7.6406355986876597e-16;6.6457922658033037e-08;9.1872255618871933e-07;1.9535399673986410e-15;1.5805490399912935e-07
15000000;0.0000000000000000e+00;4.9713926522130525e-07;1.1299419179973539e-15;6.6897309707438267e-08;7.5106546600139028e-07;1.2529425702480815e-15;1.1156675965634620e-07
17000000;0.0000000000000000e+00;9.2207141911212663e-07;1.1067547927185634e-15;4.7849383769789478e-08;5.9351747971609711e-07;1.3157836063521368e-15;1.0722108382728664e-07
19000000;0.0000000000000000e+00;4.0399927179769399e-07;8.2982546244980926e-16;6.4303975850664277e-08;2.6963328703064208e-07;8.8213572774165872e-16;2.1888541237588633e-07
21000000;0.0000000000000000e+00;3.3534280537343273e-07;1.5811407875112953e-15;5.6621637522522829e-08;6.5334921536450260e-07;1.3184518983534363e-15;1.3895808849305303e-07
23000000;0.0000000000000000e+00;9.9166142534124767e-07;9.1893001616993508e-16;6.7676121424394971e-08;8.0450580996615361e-07;1.0749681911645870e-15;2.7937819655854096e-07
25000000;0.0000000000000000e+00;3.2802268754919668e-07;1.4180005356494440e-15;5.2902839905451809e-08;7.3867194068155943e-07;1.9651513923625104e-15;1.1577012144307466e-07
27000000;0.0000000000000000e+00;8.7128450237876786e-07;1.0437349442210212e-15;5.5978231996288998e-08;7.8017096117460300e-07;1.1687565326779381e-15;1.0129599020880971e-07
29000000;0.0000000000000000e+00;5.5646155148888037e-07;1.1771838550594348e-15;4.7562343732590299e-08;3.9635100705235201e-07;1.9583601673449810e-15;1.3949124352923653e-07
31000000;0.0000000000000000e+00;4.8843252471657419e-07;1.0959300696497825e-15;5.2097193569544224e-08;5.4407105566159662e-07;5.2838092379115798e-16;1.6006438976585946e-07
33000000;0.0000000000000000e+00;8.5248483777519994e-07;1.3208173149330239e-15;4.8492933865311552e-08;4.2586920938209204e-07;6.6920888609764304e-16;6.0462758273660913e-08
35000000;0.0000000000000000e+00;2.5255524284621109e-07;8.0040367809672109e-16;3.6409724978852342e-08;7.3215592667057285e-07;7.1111408613587499e-16;1.1597427624246559e-07
37000000;0.0000000000000000e+00;6.2489829800641152e-07;1.2108023394868056e-15;4.8837105421288452e-08;4.9504826407313651e-07;8.9737759204348505e-16;1.1932816309037196e-07
39000000;0.0000000000000000e+00;4.1196744942684130e-07;1.3552373931024495e-15;5.5183846411106975e-08;7.6882395867397780e-07;1.0262277249975393e-15;1.5866570935411706e-07
