Num rows;GEMV fp64;GEMV fp32;GEMV Acc<fp64, fp64>;GEMV Acc<fp64, fp32>;GEMV Acc<fp32, fp32>;CUBLAS GEMV fp64;CUBLAS GEMV fp32
+100;+5.8559998869895935e-03;+5.6320000439882278e-03;+5.3440001793205738e-03;+5.5359997786581516e-03;+5.5040000006556511e-03;+9.6000004559755325e-03;+1.0048000141978264e-02
+200;+6.1759999953210354e-03;+6.3040000386536121e-03;+6.4960001036524773e-03;+6.3999998383224010e-03;+5.6960000656545162e-03;+8.4800003096461296e-03;+8.5119996219873428e-03
+300;+5.9839999303221703e-03;+6.1440002173185349e-03;+5.9839999303221703e-03;+6.1440002173185349e-03;+5.9839999303221703e-03;+8.7040001526474953e-03;+8.7999999523162842e-03
+400;+6.3999998383224010e-03;+6.3040000386536121e-03;+6.1759999953210354e-03;+6.3359998166561127e-03;+6.5919999033212662e-03;+9.4079999253153801e-03;+8.8640004396438599e-03
+500;+6.4639998599886894e-03;+6.1440002173185349e-03;+6.4639998599886894e-03;+6.5279998816549778e-03;+6.4639998599886894e-03;+1.3120000250637531e-02;+1.0847999714314938e-02
+600;+6.5279998816549778e-03;+6.4320000819861889e-03;+6.4960001036524773e-03;+6.2719997949898243e-03;+6.4639998599886894e-03;+9.3120001256465912e-03;+1.0143999941647053e-02
+700;+6.9760000333189964e-03;+6.4639998599886894e-03;+6.9120000116527081e-03;+6.4639998599886894e-03;+6.6240001469850540e-03;+9.6319997683167458e-03;+9.6960002556443214e-03
+800;+6.9760000333189964e-03;+6.7199999466538429e-03;+6.9120000116527081e-03;+6.9120000116527081e-03;+6.6559999249875546e-03;+1.1392000131309032e-02;+9.7920000553131104e-03
+900;+7.4559999629855156e-03;+7.2639998979866505e-03;+7.6480000279843807e-03;+7.4559999629855156e-03;+7.2639998979866505e-03;+1.1615999974310398e-02;+1.0080000385642052e-02
+1000;+7.8400000929832458e-03;+7.3919999413192272e-03;+8.0000003799796104e-03;+7.5520002283155918e-03;+7.4559999629855156e-03;+1.2095999903976917e-02;+2.2175999358296394e-02
+1100;+7.7439998276531696e-03;+7.2960001416504383e-03;+7.8079998493194580e-03;+7.2320001199841499e-03;+7.1359998546540737e-03;+1.2288000434637070e-02;+9.5359999686479568e-03
+1200;+8.1280004233121872e-03;+7.7120000496506691e-03;+8.0639999359846115e-03;+7.7120000496506691e-03;+7.3600001633167267e-03;+1.3376000337302685e-02;+9.8559996113181114e-03
+1300;+8.5760001093149185e-03;+8.0639999359846115e-03;+8.5439998656511307e-03;+8.0639999359846115e-03;+8.0000003799796104e-03;+1.3472000136971474e-02;+3.8143999874591827e-02
+1400;+8.8959997519850731e-03;+8.3200000226497650e-03;+8.7360003963112831e-03;+8.9600002393126488e-03;+7.9680001363158226e-03;+1.4592000283300877e-02;+4.0160000324249268e-02
+1500;+8.9279999956488609e-03;+8.1599997356534004e-03;+8.9919995516538620e-03;+9.5039997249841690e-03;+8.1280004233121872e-03;+1.5680000185966492e-02;+1.0975999757647514e-02
+1600;+9.3759996816515923e-03;+8.2559995353221893e-03;+9.6000004559755325e-03;+9.5359999686479568e-03;+8.0639999359846115e-03;+1.6351999714970589e-02;+1.0912000201642513e-02
+1700;+1.0048000141978264e-02;+8.7040001526474953e-03;+9.9520003423094749e-03;+1.0239999741315842e-02;+8.6719999089837074e-03;+1.9231999292969704e-02;+1.1552000418305397e-02
+1800;+1.0560000315308571e-02;+9.3120001256465912e-03;+1.0304000228643417e-02;+1.0143999941647053e-02;+8.9279999956488609e-03;+2.1471999585628510e-02;+1.1487999930977821e-02
+1900;+1.2512000277638435e-02;+1.0048000141978264e-02;+1.2160000391304493e-02;+1.0816000401973724e-02;+9.8559996113181114e-03;+2.8127999976277351e-02;+1.2671999633312225e-02
+2000;+1.5456000342965126e-02;+1.1103999800980091e-02;+1.6319999471306801e-02;+1.2319999746978283e-02;+1.0816000401973724e-02;+2.6432000100612640e-02;+1.2671999633312225e-02
+2100;+1.4783999882638454e-02;+1.0271999984979630e-02;+1.4976000413298607e-02;+1.1103999800980091e-02;+9.8559996113181114e-03;+2.8287999331951141e-02;+1.3472000136971474e-02
+2200;+1.9007999449968338e-02;+1.0623999871313572e-02;+1.9136000424623489e-02;+1.1935999616980553e-02;+1.1136000044643879e-02;+3.0079999938607216e-02;+1.3759999535977840e-02
+2300;+2.3552000522613525e-02;+1.1168000288307667e-02;+2.2784000262618065e-02;+1.2319999746978283e-02;+1.1136000044643879e-02;+3.2191999256610870e-02;+1.4240000396966934e-02
+2400;+2.8000000864267349e-02;+1.1648000217974186e-02;+2.7712000533938408e-02;+1.3279999606311321e-02;+1.1615999974310398e-02;+3.3440001308917999e-02;+1.4879999682307243e-02
+2500;+3.1488001346588135e-02;+1.2032000347971916e-02;+3.1072000041604042e-02;+1.3344000093638897e-02;+1.1744000017642975e-02;+3.5872001200914383e-02;+1.5584000386297703e-02
+2600;+3.5199999809265137e-02;+1.2768000364303589e-02;+3.5071998834609985e-02;+1.3919999822974205e-02;+1.2384000234305859e-02;+3.8143999874591827e-02;+1.5104000456631184e-02
+2700;+3.8176000118255615e-02;+1.3183999806642532e-02;+3.7951998412609100e-02;+1.4368000440299511e-02;+1.2992000207304955e-02;+4.0288001298904419e-02;+1.6192000359296799e-02
+2800;+3.9423998445272446e-02;+1.3919999822974205e-02;+3.9360001683235168e-02;+1.6127999871969223e-02;+1.4015999622642994e-02;+4.2592000216245651e-02;+1.9007999449968338e-02
+2900;+4.2815998196601868e-02;+1.5104000456631184e-02;+4.2720001190900803e-02;+1.7696000635623932e-02;+1.5104000456631184e-02;+4.4799998402595520e-02;+1.9200000911951065e-02
+3000;+4.7040000557899475e-02;+1.6960000619292259e-02;+4.6624001115560532e-02;+2.0416000857949257e-02;+1.6992000862956047e-02;+4.7584000974893570e-02;+2.1888000890612602e-02
+3100;+4.6976000070571899e-02;+1.8912000581622124e-02;+4.7040000557899475e-02;+2.0800000056624413e-02;+1.8015999346971512e-02;+4.9311999231576920e-02;+2.3744000121951103e-02
+3200;+4.9279998987913132e-02;+2.2848000749945641e-02;+4.9183998256921768e-02;+2.4992000311613083e-02;+2.1503999829292297e-02;+5.1295999437570572e-02;+2.6944000273942947e-02
+3300;+5.2159998565912247e-02;+2.5504000484943390e-02;+5.1872000098228455e-02;+2.8384000062942505e-02;+2.5728000327944756e-02;+5.5135998874902725e-02;+3.1488001346588135e-02
+3400;+5.5615998804569244e-02;+2.9023999348282814e-02;+5.5840000510215759e-02;+3.1743999570608139e-02;+2.9759999364614487e-02;+5.6896001100540161e-02;+3.2352000474929810e-02
+3500;+6.0672000050544739e-02;+3.1743999570608139e-02;+6.0639999806880951e-02;+3.4239999949932098e-02;+3.1679999083280563e-02;+6.0256000608205795e-02;+3.4495998173952103e-02
+3600;+6.1760000884532928e-02;+3.4111998975276947e-02;+6.1919998377561569e-02;+3.4527998417615891e-02;+3.3920001238584518e-02;+6.2527999281883240e-02;+3.6320000886917114e-02
+3700;+6.3840001821517944e-02;+3.6800000816583633e-02;+6.3968002796173096e-02;+3.7439998239278793e-02;+3.6191999912261963e-02;+6.7840002477169037e-02;+3.9200000464916229e-02
+3800;+6.6816002130508423e-02;+3.8015998899936676e-02;+6.7135997116565704e-02;+3.9360001683235168e-02;+3.7119999527931213e-02;+7.0752002298831940e-02;+4.0672000497579575e-02
+3900;+7.0175997912883759e-02;+4.0063999593257904e-02;+7.0175997912883759e-02;+4.1312001645565033e-02;+4.0224000811576843e-02;+7.1616001427173615e-02;+4.0768001228570938e-02
+4000;+7.3824003338813782e-02;+4.2015999555587769e-02;+7.3824003338813782e-02;+4.2624000459909439e-02;+4.1919998824596405e-02;+7.5744003057479858e-02;+4.4160000979900360e-02
+4100;+7.7728003263473511e-02;+4.2943999171257019e-02;+7.8239999711513519e-02;+4.3712001293897629e-02;+4.2975999414920807e-02;+7.7855996787548065e-02;+4.3744001537561417e-02
+4200;+8.0320000648498535e-02;+4.4640000909566879e-02;+8.0288000404834747e-02;+4.6720001846551895e-02;+4.5024000108242035e-02;+8.5248000919818878e-02;+4.5887999236583710e-02
+4300;+8.4831997752189636e-02;+4.7072000801563263e-02;+8.4703996777534485e-02;+4.8863999545574188e-02;+4.7295998781919479e-02;+8.9887998998165131e-02;+4.7871999442577362e-02
+4400;+8.8352002203464508e-02;+4.9472000449895859e-02;+8.8224001228809357e-02;+5.1488000899553299e-02;+4.9887999892234802e-02;+9.2960000038146973e-02;+4.9600001424551010e-02
+4500;+9.2831999063491821e-02;+5.1904000341892242e-02;+9.3120001256465912e-02;+5.4559998214244843e-02;+5.1359999924898148e-02;+9.5392003655433655e-02;+5.1936000585556030e-02
+4600;+9.7407996654510498e-02;+5.3215999156236649e-02;+9.7439996898174286e-02;+5.5167999118566513e-02;+5.4432000964879990e-02;+1.0140799731016159e-01;+5.2960000932216644e-02
+4700;+9.7375996410846710e-02;+5.4336000233888626e-02;+9.7344003617763519e-02;+5.5008001625537872e-02;+5.4400000721216202e-02;+1.0457599908113480e-01;+5.4944001138210297e-02
+4800;+1.0172799974679947e-01;+5.6511998176574707e-02;+1.0166399925947189e-01;+5.8143999427556992e-02;+5.6320000439882278e-02;+1.0800000280141830e-01;+5.7087998837232590e-02
+4900;+1.0588800162076950e-01;+5.8975998312234879e-02;+1.0592000186443329e-01;+6.0639999806880951e-02;+5.8848001062870026e-02;+1.1241599917411804e-01;+5.9487998485565186e-02
+5000;+1.1155200004577637e-01;+6.0256000608205795e-02;+1.1110399663448334e-01;+6.3551999628543854e-02;+5.9872001409530640e-02;+1.1676800251007080e-01;+6.1344001442193985e-02
+5100;+1.1827199906110764e-01;+6.2976002693176270e-02;+1.1779200285673141e-01;+6.5024003386497498e-02;+6.2591999769210815e-02;+1.2179200351238251e-01;+6.5375998616218567e-02
+5200;+1.1894399672746658e-01;+6.3872002065181732e-02;+1.1903999745845795e-01;+6.4511999487876892e-02;+6.3551999628543854e-02;+1.2479999661445618e-01;+6.5311998128890991e-02
+5300;+1.2374400347471237e-01;+6.6527999937534332e-02;+1.2355200201272964e-01;+6.7359998822212219e-02;+6.5792001783847809e-02;+1.2937599420547485e-01;+6.8544000387191772e-02
+5400;+1.2803199887275696e-01;+6.8704001605510712e-02;+1.2761600315570831e-01;+7.0303998887538910e-02;+6.8319998681545258e-02;+1.2851199507713318e-01;+7.0464000105857849e-02
+5500;+1.3107199966907501e-01;+7.0848003029823303e-02;+1.3167999684810638e-01;+7.3247998952865601e-02;+7.0560000836849213e-02;+1.3785600662231445e-01;+7.3151998221874237e-02
+5600;+1.3638399541378021e-01;+7.3664002120494843e-02;+1.3648000359535217e-01;+7.5199998915195465e-02;+7.3408000171184540e-02;+1.4486399292945862e-01;+7.8752003610134125e-02
+5700;+1.4105600118637085e-01;+7.5648002326488495e-02;+1.4124800264835358e-01;+7.6704002916812897e-02;+7.5648002326488495e-02;+1.4921599626541138e-01;+7.6800003647804260e-02
+5800;+1.4608000218868256e-01;+7.8304000198841095e-02;+1.4636799693107605e-01;+7.9456001520156860e-02;+7.7536001801490784e-02;+1.5292799472808838e-01;+8.2240000367164612e-02
+5900;+1.5087999403476715e-01;+8.0191999673843384e-02;+1.5091200172901154e-01;+8.2143999636173248e-02;+8.0288000404834747e-02;+1.5804800391197205e-01;+8.1023998558521271e-02
+6000;+1.5452800691127777e-01;+8.2560002803802490e-02;+1.5491199493408203e-01;+8.4576003253459930e-02;+8.2847997546195984e-02;+1.5724800527095795e-01;+8.5983999073505402e-02
+6100;+1.6816000640392303e-01;+8.7360002100467682e-02;+1.6822400689125061e-01;+9.0368002653121948e-02;+8.7456002831459045e-02;+1.6252799332141876e-01;+9.0304002165794373e-02
+6200;+1.6585600376129150e-01;+8.7392002344131470e-02;+1.6569599509239197e-01;+8.8703997433185577e-02;+8.7136000394821167e-02;+1.7539200186729431e-01;+8.9504003524780273e-02
+6300;+1.7084799706935883e-01;+9.0527996420860291e-02;+1.7100800573825836e-01;+9.1711997985839844e-02;+9.0304002165794373e-02;+1.7916800081729889e-01;+9.3248002231121063e-02
+6400;+1.7494399845600128e-01;+9.2703998088836670e-02;+1.7472000420093536e-01;+9.4719998538494110e-02;+9.2767998576164246e-02;+1.8316799402236938e-01;+9.6064001321792603e-02
+6500;+1.8099200725555420e-01;+9.6000000834465027e-02;+1.8044799566268921e-01;+9.8112002015113831e-02;+9.6160002052783966e-02;+1.8195199966430664e-01;+9.9391996860504150e-02
+6600;+1.8975999951362610e-01;+1.0028800368309021e-01;+1.8963199853897095e-01;+1.0067199915647507e-01;+1.0047999769449234e-01;+1.8710400164127350e-01;+1.0025600343942642e-01
+6700;+1.9308799505233765e-01;+1.0198400169610977e-01;+1.9276799261569977e-01;+1.0265599936246872e-01;+1.0159999877214432e-01;+1.9135999679565430e-01;+1.0447999835014343e-01
+6800;+1.9897599518299103e-01;+1.0412800312042236e-01;+1.9855999946594238e-01;+1.0601600259542465e-01;+1.0444799810647964e-01;+1.9795200228691101e-01;+1.0617599636316299e-01
+6900;+2.0188799500465393e-01;+1.0758399963378906e-01;+2.0220799744129181e-01;+1.0927999764680862e-01;+1.0796800255775452e-01;+2.0531199872493744e-01;+1.0847999900579453e-01
+7000;+2.0828799903392792e-01;+1.1030399799346924e-01;+2.0841600000858307e-01;+1.1353600025177002e-01;+1.1068800091743469e-01;+2.0908799767494202e-01;+1.1129599809646606e-01
+7100;+2.2070400416851044e-01;+1.1657600104808807e-01;+2.2025600075721741e-01;+1.1782400310039520e-01;+1.1635199934244156e-01;+2.1526400744915009e-01;+1.1392000317573547e-01
+7200;+2.1875199675559998e-01;+1.1635199934244156e-01;+2.1955199539661407e-01;+1.1721599847078323e-01;+1.1564800143241882e-01;+2.2275200486183167e-01;+1.1727999895811081e-01
+7300;+2.2649599611759186e-01;+1.1875200271606445e-01;+2.2652800381183624e-01;+1.2064000219106674e-01;+1.1891199648380280e-01;+2.2755199670791626e-01;+1.3628800213336945e-01
+7400;+2.3183999955654144e-01;+1.2233600020408630e-01;+2.3145599663257599e-01;+1.2342400103807449e-01;+1.2256000190973282e-01;+2.3318399488925934e-01;+1.4159999787807465e-01
+7500;+2.3900799453258514e-01;+1.2585599720478058e-01;+2.3907199501991272e-01;+1.2697599828243256e-01;+1.2559999525547028e-01;+2.4105599522590637e-01;+1.4310400187969208e-01
+7600;+2.5212800502777100e-01;+1.3040000200271606e-01;+2.5196799635887146e-01;+1.3120000064373016e-01;+1.2988799810409546e-01;+2.4643200635910034e-01;+1.4678399264812469e-01
+7700;+2.5161600112915039e-01;+1.3065600395202637e-01;+2.5248000025749207e-01;+1.3075199723243713e-01;+1.3084800541400909e-01;+2.5340801477432251e-01;+1.4806400239467621e-01
+7800;+2.5503998994827271e-01;+1.3417600095272064e-01;+2.5596800446510315e-01;+1.3436800241470337e-01;+1.3385599851608276e-01;+2.5907200574874878e-01;+1.5017600357532501e-01
+7900;+2.6201599836349487e-01;+1.3715200126171112e-01;+2.6281601190567017e-01;+1.3862399756908417e-01;+1.3769599795341492e-01;+2.6630398631095886e-01;+1.5488000214099884e-01
+8000;+2.6899200677871704e-01;+1.4131200313568115e-01;+2.6876801252365112e-01;+1.4252799749374390e-01;+1.4047999680042267e-01;+2.7004799246788025e-01;+1.5564799308776855e-01
+8100;+2.8092798590660095e-01;+1.4620800316333771e-01;+2.8057599067687988e-01;+1.4921599626541138e-01;+1.4649599790573120e-01;+2.7814400196075439e-01;+1.5913599729537964e-01
+8200;+2.8710401058197021e-01;+1.4675199985504150e-01;+2.8672000765800476e-01;+1.4892800152301788e-01;+1.4691199362277985e-01;+2.8355199098587036e-01;+1.6179199516773224e-01
+8300;+2.9164800047874451e-01;+1.4963200688362122e-01;+2.9168000817298889e-01;+1.5167999267578125e-01;+1.4975999295711517e-01;+2.9232001304626465e-01;+1.6543999314308167e-01
+8400;+2.9974400997161865e-01;+1.5379199385643005e-01;+3.0038401484489441e-01;+1.5593600273132324e-01;+1.5430399775505066e-01;+2.9942399263381958e-01;+1.6761599481105804e-01
+8500;+3.0694401264190674e-01;+1.5760000050067902e-01;+3.0681601166725159e-01;+1.6038399934768677e-01;+1.5750400722026825e-01;+3.0684798955917358e-01;+1.7094400525093079e-01
+8600;+3.1609600782394409e-01;+1.6223999857902527e-01;+3.1641599535942078e-01;+1.6620799899101257e-01;+1.6176000237464905e-01;+3.1238400936126709e-01;+1.7417599260807037e-01
+8700;+3.2172799110412598e-01;+1.6652800142765045e-01;+3.2175999879837036e-01;+1.6873599588871002e-01;+1.6640000045299530e-01;+3.2214400172233582e-01;+1.7622399330139160e-01
+8800;+3.2377600669860840e-01;+1.6748799383640289e-01;+3.2284799218177795e-01;+1.6972799599170685e-01;+1.6784000396728516e-01;+3.2764801383018494e-01;+1.8108800053596497e-01
+8900;+3.3225598931312561e-01;+1.7155200242996216e-01;+3.3311998844146729e-01;+1.7427200078964233e-01;+1.7209599912166595e-01;+3.3574399352073669e-01;+1.8396799266338348e-01
